rewardval1,rewardval2,rewardval3,rewardval4,rewardval5,tree1_n,tree2_p,time.thisRepN,time.thisTrialN,time.thisN,time.thisIndex,reward1.thisRepN,reward1.thisTrialN,reward1.thisN,reward1.thisIndex,pos_1.thisRepN,pos_1.thisTrialN,pos_1.thisN,pos_1.thisIndex,introtext.started,introtext.stopped,tree1_18.started,tree1_18.stopped,tree2_18.started,tree2_18.stopped,tree3_18.started,tree3_18.stopped,tree4_18.started,tree4_18.stopped,circle1.started,circle1.stopped,wait_7.started,wait_7.stopped,forward_11.started,forward_11.stopped,squaree_3.started,squaree_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,tree1_12.started,tree1_12.stopped,tree2_12.started,tree2_12.stopped,tree3_12.started,tree3_12.stopped,tree4_12.started,tree4_12.stopped,circle2.started,circle2.stopped,wait_3.started,wait_3.stopped,forward_2.started,forward_2.stopped,squaree_2.started,squaree_2.stopped,gcircle.started,gcircle.stopped,tree1_4.started,tree1_4.stopped,tree2_4.started,tree2_4.stopped,tree3_4.started,tree3_4.stopped,tree4_4.started,tree4_4.stopped,circle3.started,circle3.stopped,reward_2.started,reward_2.stopped,resp.started,resp.stopped,forward.started,forward.stopped,key_resp.keys,key_resp.started,key_resp.stopped,sol.x,sol.y,sol.leftButton,sol.midButton,sol.rightButton,sol.clicked_name,sol.started,sol.stopped,gcircle_2.started,gcircle_2.stopped,skipsq.started,skipsq.stopped,tree1_19.started,tree1_19.stopped,tree2_19.started,tree2_19.stopped,tree3_19.started,tree3_19.stopped,tree4_19.started,tree4_19.stopped,circle4.started,circle4.stopped,wait_8.started,wait_8.stopped,forward_12.started,forward_12.stopped,squaree_4.started,squaree_4.stopped,gcircle_3.started,gcircle_3.stopped,reward_7.started,reward_7.stopped,gcircle_4.started,gcircle_4.stopped,tree1_6.started,tree1_6.stopped,tree2_6.started,tree2_6.stopped,tree3_6.started,tree3_6.stopped,tree4_6.started,tree4_6.stopped,circle5.started,circle5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
7.5,7.3,7.6,7.1,7.4,,,0,0,0,0,0,0,0,0,,,,,6.679849863052368,None,7.768202066421509,None,7.768202066421509,7.768202066421509,7.768202066421509,7.768202066421509,7.768202066421509,7.768202066421509,7.768202066421509,None,7.768202066421509,7.768202066421509,7.768202066421509,None,7.768202066421509,7.768202066421509,0.007407407407407408,-0.2101851851851852,1,0,0,circle1,0.013939857482910156,None,8.577238082885742,None,8.577238082885742,8.577238082885742,8.577238082885742,8.577238082885742,8.577238082885742,8.577238082885742,8.577238082885742,None,8.577238082885742,8.577238082885742,8.577238082885742,None,8.577238082885742,8.577238082885742,8.577238082885742,8.577238082885742,9.602631092071533,None,9.602631092071533,9.602631092071533,9.602631092071533,9.602631092071533,9.602631092071533,9.602631092071533,9.602631092071533,None,9.602631092071533,9.602631092071533,0.00504755973815918,0.00504755973815918,9.602631092071533,None,None,9.602631092071533,9.602631092071533,-0.49074074074074076,-0.18888888888888888,1,0,0,tree1_4,0.00504755973815918,None,9.602631092071533,None,9.602631092071533,None,15.212779998779297,None,15.212779998779297,15.212779998779297,15.212779998779297,15.212779998779297,15.212779998779297,15.212779998779297,15.212779998779297,None,15.212779998779297,15.212779998779297,15.212779998779297,None,15.212779998779297,15.212779998779297,15.212779998779297,15.212779998779297,15.212779998779297,None,15.212779998779297,None,,,,,,,,,,,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
7.1,6.9,7.1,6.6,6.8,,,0,0,0,0,0,1,1,1,,,,,,,16.24524188041687,None,16.24524188041687,16.24524188041687,16.24524188041687,16.24524188041687,16.24524188041687,16.24524188041687,16.24524188041687,None,16.24524188041687,16.24524188041687,16.24524188041687,None,16.24524188041687,16.24524188041687,-0.022222222222222223,-0.20925925925925926,1,0,0,circle1,0.006196260452270508,None,17.863214015960693,None,17.863214015960693,17.863214015960693,17.863214015960693,17.863214015960693,17.863214015960693,17.863214015960693,17.863214015960693,None,17.863214015960693,17.863214015960693,17.863214015960693,None,17.863214015960693,17.863214015960693,17.863214015960693,17.863214015960693,18.875267028808594,None,18.875267028808594,18.875267028808594,18.875267028808594,18.875267028808594,18.875267028808594,18.875267028808594,18.875267028808594,None,18.875267028808594,18.875267028808594,0.013230323791503906,0.013230323791503906,18.875267028808594,None,None,18.875267028808594,18.875267028808594,0.45740740740740743,-0.21851851851851853,1,0,0,skipsq,0.013230323791503906,None,18.875267028808594,None,18.875267028808594,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,,,,,,,,,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.2,-0.6,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.89600896835327,None,27.89600896835327,None,27.89600896835327,27.89600896835327,27.89600896835327,27.89600896835327,27.89600896835327,None,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.21,-0.6,0,0,0,0,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,28.057255029678345,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.22,-0.6,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,28.213347911834717,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.23,-0.6,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,28.376529932022095,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.24,-0.6,0,0,0,0,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,28.56910800933838,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.25,-0.6,0,0,0,0,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,28.730406999588013,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.26,-0.6,0,0,0,0,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,28.889561891555786,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.27,-0.6,0,0,0,0,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,29.06103205680847,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.28,-0.6,0,0,0,0,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,29.22617506980896,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.29,-0.6,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,29.392536878585815,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.3,-0.6,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,29.589226007461548,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.31,-0.6,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,29.792845964431763,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
,,,,,-0.32,-0.6,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,29.990511894226074,,001,2021_Aug_01_1649,untitled,2020.2.10,59.540461582576945,
